type,review_id,source_id,failure_type,detector_to_fix,priority,reason,grid_band,x,y,length_m,breadth_or_width_m,area_sqm,text
SLAB,R1,SR1786029--1031664,slab cell review,Slab closed-cell boundary detection,3,Possible missed slab panel: filtered as structural body/narrow strip.,E12-E13/H17-H18,1789847.5,-1031202.5,7.637,0.923,7.049,
SLAB,R2,SR1786029--995663,slab cell review,Slab closed-cell boundary detection,3,Possible missed slab panel: filtered as structural body/narrow strip.,E12-E13/H5-H6,1789847.5,-995201.5,7.637,0.923,7.049,
BEAM,BR1,,short beam fragment unconfirmed,Bay-wise beam run builder,2,Beam span is below the minimum accepted short-beam length and has no confirming CAD dimension; possible split fragment.,E1-E2/H6-H7,1710532.5,-995362.873,0.128,0,0,BEAM(300X600)
BEAM,BR2,,short beam fragment unconfirmed,Bay-wise beam run builder,2,Beam span is below the minimum accepted short-beam length and has no confirming CAD dimension; possible split fragment.,outside E grid/H2-H3,1700810.5,-989921,0.219,0,0,BEAM(230X600)
BEAM,BR3,,long stitched beam run unverified,Bay-wise beam run builder,3,Beam came from a long stitched run with many split points and no confirming CAD dimension; bay run must be reviewed.,E5-E6/H5-H6,1730185.103,-994015.616,0.339,0,0,B(230X600)
BEAM,BR4,,long stitched beam run unverified,Bay-wise beam run builder,3,Beam came from a long stitched run with many split points and no confirming CAD dimension; bay run must be reviewed.,E5-E6/H19-H20,1730185.103,-1034967.255,2.232,0,0,BEAM(230X600)
BEAM,BR5,,beam face width mismatch,Beam face pairing,3,paired face width mismatch,outside E grid/H8-H9,1700764.691,-999764.893,0,0,0,B(450X600)
BEAM,BR6,,beam face width mismatch,Beam face pairing,3,paired face width mismatch,E3-E4/H14-H15,1722295.104,-1022808.248,0,0,0,BEAM(230X600)
BEAM,BR7,,beam face width mismatch,Beam face pairing,3,paired face width mismatch,E3-E4/H10-H11,1719725.198,-1003931.608,0,0,0,BEAM(230X600)
BEAM,BR8,,long stitched beam run unverified,Bay-wise beam run builder,3,Beam came from a long stitched run with many split points and no confirming CAD dimension; bay run must be reviewed.,E5-E6/H10-H11,1730185.103,-1007311.592,3.448,0,0,BEAM(230X600)
