"S.No.","Item Description","Unit","Number of Member","Length","Width/Breadth","Height","Total Qty","Remarks"
"1","QB1 Vertical beam 230x600 bottom shuttering","sqm","1","51.224","0.23","1","11.781","Verified by paired stitched beam faces near B(230X600); without column cap; slab thickness 0.15 m deducted from both sides."
"2","QB1 Vertical beam 230x600 side shuttering","sqm","2","51.224","1","0.45","46.101","Verified by paired stitched beam faces near B(230X600); without column cap; slab thickness 0.15 m deducted from both sides."
"3","QB2 Vertical beam 750x600 bottom shuttering","sqm","1","41.098","0.75","1","30.824","Verified by paired stitched beam faces near BEAM(750X600); without column cap; slab thickness 0.15 m deducted from both sides."
"4","QB2 Vertical beam 750x600 side shuttering","sqm","2","41.098","1","0.45","36.989","Verified by paired stitched beam faces near BEAM(750X600); without column cap; slab thickness 0.15 m deducted from both sides."
"5","QB3 Vertical beam 450x600 bottom shuttering","sqm","1","24.548","0.45","1","11.047","Verified by paired stitched beam faces near BEAM(450X600); without column cap; slab thickness 0.15 m deducted from both sides."
"6","QB3 Vertical beam 450x600 side shuttering","sqm","2","24.548","1","0.45","22.094","Verified by paired stitched beam faces near BEAM(450X600); without column cap; slab thickness 0.15 m deducted from both sides."
"7","QB4 Vertical beam 750x600 bottom shuttering","sqm","1","51.224","0.75","1","38.418","Verified by paired stitched beam faces near BEAM(750X600); without column cap; slab thickness 0.15 m deducted from both sides."
"8","QB4 Vertical beam 750x600 side shuttering","sqm","2","51.224","1","0.45","46.101","Verified by paired stitched beam faces near BEAM(750X600); without column cap; slab thickness 0.15 m deducted from both sides."
"9","QB5 Vertical beam 750x600 bottom shuttering","sqm","1","51.224","0.75","1","38.418","Verified by paired stitched beam faces near BEAM(750X600); without column cap; slab thickness 0.15 m deducted from both sides."
"10","QB5 Vertical beam 750x600 side shuttering","sqm","2","51.224","1","0.45","46.101","Verified by paired stitched beam faces near BEAM(750X600); without column cap; slab thickness 0.15 m deducted from both sides."
"11","QB6 Vertical beam 900x600 bottom shuttering","sqm","1","51.224","0.9","1","46.101","Verified by paired stitched beam faces near BEAM(900X600); without column cap; slab thickness 0.15 m deducted from both sides."
"12","QB6 Vertical beam 900x600 side shuttering","sqm","2","51.224","1","0.45","46.101","Verified by paired stitched beam faces near BEAM(900X600); without column cap; slab thickness 0.15 m deducted from both sides."
"13","QB7 Vertical beam 900x600 bottom shuttering","sqm","1","51.224","0.9","1","46.101","Verified by paired stitched beam faces near BEAM(900X600); without column cap; slab thickness 0.15 m deducted from both sides."
"14","QB7 Vertical beam 900x600 side shuttering","sqm","2","51.224","1","0.45","46.101","Verified by paired stitched beam faces near BEAM(900X600); without column cap; slab thickness 0.15 m deducted from both sides."
"15","QB8 Vertical beam 450x600 bottom shuttering","sqm","1","51.224","0.45","1","23.051","Verified by paired stitched beam faces near B(450X600); without column cap; slab thickness 0.15 m deducted from both sides."
"16","QB8 Vertical beam 450x600 side shuttering","sqm","2","51.224","1","0.45","46.101","Verified by paired stitched beam faces near B(450X600); without column cap; slab thickness 0.15 m deducted from both sides."
"17","QB9 Vertical beam 300x600 bottom shuttering","sqm","1","51.224","0.3","1","15.367","Verified by paired stitched beam faces near BEAM(300X600); without column cap; slab thickness 0.15 m deducted from both sides."
"18","QB9 Vertical beam 300x600 side shuttering","sqm","2","51.224","1","0.45","46.101","Verified by paired stitched beam faces near BEAM(300X600); without column cap; slab thickness 0.15 m deducted from both sides."
